ID,Title,Calories,Protein,Fat,Carbohydrates,Fiber,Calcium,Estimated_Portions,Match_Rate
1,Udang saos tiram,1203.1,214.5,17.8,37.1,2.9,1420.0,3,100.0%
2,Tumis Sawi Hijau with Shrimp Simple,1182.0,221.9,3.6,55.0,6.7,1581.4,3,100.0%
3,Tauco udang Pete baby corn,489.3,59.2,17.2,23.6,3.1,391.3,2,100.0%
4,Udang Tumis Pedas Sederhana ,1805.0,122.5,48.8,215.2,73.4,985.0,3,100.0%
5,Udang Balado,61.1,3.1,1.0,12.3,0.8,25.9,2,100.0%
6,Tumis kacang panjang udang (No Msg),360.5,7.5,31.2,15.7,1.0,78.0,2,100.0%
7,Mie Kuah Udang Telur Sedap Malam (Non MSG),1325.9,88.3,43.3,144.6,56.6,575.6,3,88.9%
8,Udang Goreng tepung Sambal Matah,610.9,27.2,5.2,115.2,6.4,248.5,2,100.0%
9,Sayur Tahu Labu Udang,1308.4,178.0,42.2,72.9,2.0,1320.2,3,87.5%
10,Labu Siam Udang ,296.8,37.9,2.1,29.7,0.6,248.1,2,91.7%
11,Bola-Bola Tempe,2119.5,69.8,85.6,269.7,4.2,342.2,4,83.3%
12,Tumis Kacang Panjang Tempe,1542.2,73.5,111.6,86.7,12.6,444.8,3,100.0%
13,Sambel teri nasi tahu tempe,686.8,87.4,19.8,50.6,7.2,704.8,2,100.0%
14,Tempe orek,227.7,12.8,3.7,36.5,8.0,321.3,2,100.0%
15,Tempe bacem,789.8,17.9,48.5,72.3,6.6,330.4,2,100.0%
16,Bakwan Tempe,209.5,7.4,1.5,44.9,4.9,212.7,2,80.0%
17,Oseng Tempe Bawang Bombay (Eat Clean),261.4,7.3,16.6,23.6,6.5,242.3,2,100.0%
18,"Tumis Bawang Merah, Teri Tempe, Jengkol",1093.1,44.3,6.4,210.2,23.3,1514.3,3,100.0%
19,Tempe pete kemangi orek,313.4,15.8,4.6,53.5,8.9,634.6,2,87.5%
20,Keripik tempe renyah,5158.8,147.1,17.7,1182.2,13.1,746.3,5,100.0%
21,Ayam Betutu,880.3,22.9,71.6,39.2,3.3,88.1,2,94.1%
22,Nugget ayam homemade,424.1,8.5,9.5,76.0,3.1,51.6,2,90.0%
23,Ayam geprek,644.9,37.9,50.1,11.2,0.4,41.0,2,100.0%
24,Tulang ayam rica wangi,489.9,3.1,46.6,16.9,1.9,43.7,2,100.0%
25,Risoles ragout ayam,2802.0,72.8,151.5,313.2,10.0,267.4,5,94.1%
26,Ayam sambal balado,3479.6,195.1,266.9,74.5,7.6,340.1,5,87.5%
27,Ayam Woku Manado,677.7,28.6,53.5,23.7,3.0,229.8,2,100.0%
28,Chicken katsu rumahan,4029.5,29.5,27.3,918.1,74.1,307.4,5,80.0%
29,Risoles ragout ayam,2767.4,88.3,115.2,359.7,5.4,169.8,4,100.0%
30,Rica - Rica Ayam,3345.9,196.4,261.4,51.2,17.1,288.6,5,100.0%
31,Easy Beef Hand Pies ,729.5,15.6,34.4,91.0,15.0,345.5,2,100.0%
32,Abon Sapi Homemade,639.8,14.3,44.0,54.3,8.1,153.0,2,100.0%
33,Beef Lasagna dgn Saus & Kulit Homemade ,2516.2,58.5,123.3,319.8,5.7,258.7,4,91.3%
34,Beef Udon,279.2,17.3,13.2,28.8,1.1,134.8,2,71.4%
35,Daging sapi lada hitam,273.1,6.7,16.3,26.2,1.2,98.6,2,63.6%
36,Asem asem buncis daging sapi,197.5,2.8,16.2,12.1,1.0,43.3,2,100.0%
37,Sate Sapi Goreng,32.6,1.1,0.2,6.7,0.5,16.2,2,100.0%
38,Rawon Sapi Resep Emak ,2854.5,82.8,238.6,94.6,10.8,378.3,5,93.8%
39,Tongseng sapi,705.9,26.9,10.3,126.8,10.3,356.0,2,93.8%
40,Bulgogi (Semur Daging Sapi ala Korea),431.8,5.5,23.1,53.4,0.7,70.3,2,90.9%
41,Dadar Telor Cah Toge,1263.6,130.3,38.9,118.0,0.5,1019.9,3,100.0%
42,Telor dadar ala RM Padang,1541.8,18.5,107.2,130.6,0.8,91.8,3,100.0%
43,Sempol Ayam Telur Gulung,641.8,14.5,14.2,119.0,0.5,48.4,2,100.0%
44,Dadar telor cah toge,245.7,7.8,3.7,45.5,1.1,51.8,2,100.0%
45,Tumis buncis orak arik telor,437.8,8.6,17.0,63.4,4.0,27.0,2,100.0%
46,Kornet tumis telur,960.1,50.6,53.9,68.9,5.2,192.7,2,100.0%
47,Tempe Goreng Telur,272.1,11.4,3.2,51.6,4.3,220.5,2,100.0%
48,Cilok isi Telur,685.0,18.3,3.3,154.1,0.5,47.5,2,100.0%
49,Tumis buncis telur,436.3,6.2,33.3,30.6,1.3,45.1,2,88.9%
50,Semur Telur & Kentang,1301.6,32.3,19.3,248.0,1.8,96.6,3,100.0%
51,Kentang tahu kuah kecap,1024.1,63.7,46.0,94.9,2.3,437.7,3,100.0%
52,Opor Ayam + Tahu,4033.0,288.2,295.3,73.8,4.2,974.4,5,100.0%
53,Patin tahu asam pedas,1683.7,148.6,41.7,200.1,9.1,1302.2,3,93.3%
54,Perkedel Tahu Kari Tanpa Telur,2084.3,249.5,69.6,159.2,0.2,1903.6,4,100.0%
55,Tahu Telur Asin,1438.4,122.7,37.0,172.6,27.1,941.0,3,100.0%
56,Tahu Aci Pedas Manis ,1931.1,170.6,46.2,238.0,12.2,1409.0,3,100.0%
57,Perkedel tahu,902.4,101.4,29.3,74.7,0.5,781.0,2,100.0%
58,Tahu Kribo,1515.7,164.6,45.1,144.0,0.3,1229.4,3,100.0%
59,Tahu aci,1102.0,62.0,14.2,200.5,0.9,371.4,3,100.0%
60,Tahu Kecap Kental Pedas,1788.1,158.4,47.9,201.2,54.8,1358.3,3,90.0%
61,Ikan patin kuah asam pedas,2041.2,208.6,6.8,287.3,4.4,447.9,4,100.0%
62,Gurame Bakar,291.3,9.2,14.1,32.7,1.9,182.8,2,84.6%
63,Pesmol Gurame,300.4,10.3,11.8,40.8,9.8,113.1,2,100.0%
64,Pindang Patin,863.1,59.5,4.8,146.5,11.4,400.3,2,95.5%
65,Siomay Bandung Ikan Tenggiri,4519.5,182.6,37.7,926.1,12.7,879.4,5,80.0%
66,Bandeng Asem Pedas Seger Kuah Kuning ,472.2,11.9,4.8,104.4,6.0,148.1,2,90.9%
67,Gurami Kuah Asam,241.5,20.7,3.9,34.5,5.4,296.6,2,100.0%
68,Pepes Ikan Tuna Bumbu Orange,532.3,48.1,9.8,63.2,5.3,394.4,2,88.9%
69,Pindang Serani Ikan Patin,1714.6,112.6,6.8,317.5,5.6,606.1,3,100.0%
70,Pizza Tuna Jagung,1390.5,27.6,51.9,222.1,1.4,86.2,3,90.9%
71,Nasi Goreng Kambing,1604.7,28.9,27.1,307.4,32.4,2044.8,3,100.0%
72,Soto Kambing simpel,388.4,7.2,9.2,72.0,4.3,104.6,2,100.0%
73,Nasi Kebuli,2895.4,304.7,39.6,329.7,52.9,645.9,5,100.0%
74,Ungkep daging kambing ,165.3,6.3,10.9,10.6,1.6,52.9,2,100.0%
75,Martabak Gule Daging,4082.3,191.3,198.2,378.1,3.9,266.1,5,100.0%
76,Tumis sayur sate kambing,436.1,26.0,12.8,53.7,3.2,64.1,2,91.7%
77,SOP KAKI KAMBING ,1257.6,96.2,73.6,60.5,5.0,259.5,3,90.5%
78,Sop Kepala Kambing,2436.2,2.5,0.4,578.8,1.5,65.2,4,100.0%
79,Nasi briyani kambing,891.2,87.6,48.5,28.9,5.0,161.1,2,89.5%
80,Sate Kambing,187.3,5.9,2.4,36.5,3.2,84.8,2,90.9%
